source,file_id,raw_file_id,pt_abs_error,mt_abs_error,tll_abs_error,mae3,within_5,changed_targets248,pt_source248,mt_source248,tll_source248
train2000,1017_002348,002348,6.4485,2.1079,22.5152,10.3572,0,MT+TL_L,base_direct_pt,MT190,sf204_tll246_all_cases_from_196_159_175_logic
train2000,1018_011569,011569,3.3684,0.0037,0.1154,1.1625,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1019_010075,010075,2.6823,1.0945,5.5918,3.1229,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,101_005242,005242,0.0005,3.8639,1.1001,1.6548,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1020_015391,015391,1.9677,3.838,2.887,2.8976,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1021_008981,008981,4.3499,3.1973,1.0467,2.8646,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1022_000967,000967,0.0929,3.0322,8.7387,3.9546,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1023_014497,014497,8.717,1.9556,10.6453,7.106,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1024_012008,012008,10.2832,1.883,5.1548,5.7737,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1025_010369,010369,3.1823,15.3661,4.0628,7.5371,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1026_005868,005868,1.8026,3.3026,4.8885,3.3312,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1027_005266,005266,1.8815,0.9032,10.0386,4.2744,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1028_005829,005829,4.0255,8.2329,6.7824,6.3469,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1029_005790,005790,2.5701,1.8176,3.2136,2.5338,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,102_005818,005818,5.1566,2.1494,6.5912,4.6324,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1030_004588,004588,3.1829,2.4472,3.2501,2.9601,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1031_000206,000206,6.0733,3.5198,9.0703,6.2211,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1032_009590,009590,1.8878,4.2502,6.7881,4.3087,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1033_012207,012207,2.9497,4.4521,6.9107,4.7708,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1034_003378,003378,3.1885,4.3253,3.0579,3.5239,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1035_015137,015137,3.9978,3.2519,6.263,4.5042,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1036_005956,005956,7.157,4.3569,4.3632,5.2924,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1037_013265,013265,5.0964,4.4244,4.8474,4.7894,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1038_012696,012696,2.7929,2.7609,2.6987,2.7508,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1039_008164,008164,9.5247,2.182,7.8523,6.5197,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,103_003450,003450,5.9872,3.4358,6.4816,5.3015,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1040_014478,014478,14.2104,4.1224,19.935,12.7559,0,TL_L,base_direct_pt,base_direct_mt,sf204_tll246_all_cases_from_196_159_175_logic
train2000,1041_009088,009088,0.3981,5.3172,7.1147,4.2767,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1042_010077,010077,1.734,3.9216,4.4994,3.385,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1043_014918,014918,2.0511,1.6118,5.0001,2.8877,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1044_010802,010802,4.6042,4.6447,6.8047,5.3512,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1045_006598,006598,1.2457,4.7082,5.5072,3.8204,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1046_012619,012619,2.6393,0.044,10.3075,4.3303,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1047_012935,012935,2.5004,1.8912,11.6619,5.3512,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1048_006151,006151,10.2959,2.9896,5.4601,6.2485,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1049_013847,013847,1.8766,1.8544,1.6722,1.8011,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,104_015588,015588,0.81,0.1621,2.8738,1.282,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1050_006147,006147,9.6905,2.6159,5.0374,5.7813,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1051_012202,012202,4.5695,3.4958,4.1001,4.0551,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1052_003505,003505,1.5116,5.4991,6.9576,4.6561,1,MT,base_direct_pt,MT190,base_direct_tll
train2000,1053_009208,009208,3.2909,9.3148,2.5706,5.0588,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1054_015568,015568,2.2836,1.1732,2.4735,1.9768,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1055_002725,002725,0.3238,3.1546,2.5039,1.9941,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1056_008471,008471,0.7869,3.235,7.2908,3.7709,1,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,1057_013792,013792,31.4758,17.624,9.5386,19.5461,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1058_014257,014257,2.5471,9.895,8.1905,6.8775,0,MT,base_direct_pt,MT190,base_direct_tll
train2000,1059_008544,008544,18.2897,3.7835,18.25,13.4411,0,,base_direct_pt,base_direct_mt,base_direct_tll
train2000,105_013875,013875,1.7497,0.2316,3.347,1.7761,1,,base_direct_pt,base_direct_mt,base_direct_tll
