source,file_id,raw_file_id,pt_abs_error,mt_abs_error,tll_abs_error,mae3,within_5,changed_targets248,pt_source248,mt_source248,tll_source248
trainfull,1009_014057,014057,2.9241,1.4127,3.3814,2.5727,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,100_011855,011855,7.0828,4.638,0.6213,4.114,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1010_013201,013201,2.4371,5.1332,6.0941,4.5548,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1011_009334,009334,1.5001,4.8179,4.2698,3.5293,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1012_008418,008418,7.2617,2.2304,2.6071,4.0331,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1013_008269,008269,4.247,4.1171,4.7487,4.3709,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1014_013506,013506,4.3756,0.6388,2.6955,2.57,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1015_001951,001951,6.1843,4.0191,2.5471,4.2502,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1016_007057,007057,0.7825,4.7272,6.4671,3.9923,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1017_002348,002348,5.0414,2.2449,23.9666,10.4176,0,MT+TL_L,base_direct_pt,MT190,sf204_tll246_all_cases_from_196_159_175_logic
trainfull,1018_011569,011569,4.4088,0.8011,0.9378,2.0492,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1019_010075,010075,1.5516,1.3953,5.6647,2.8705,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,101_005242,005242,0.3138,7.0976,6.8339,4.7484,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1020_015391,015391,1.7255,4.9182,7.224,4.6226,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1021_008981,008981,3.5922,3.0646,0.7506,2.4691,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1022_000967,000967,2.2559,1.0596,8.0915,3.8023,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1023_014497,014497,7.4674,0.1464,12.2278,6.6139,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1024_012008,012008,10.4625,1.6259,3.5595,5.216,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1025_010369,010369,3.5689,15.0782,3.7176,7.4549,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1026_005868,005868,2.2416,3.0036,3.8645,3.0366,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1027_005266,005266,4.2346,2.6667,9.7777,5.5597,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1028_005829,005829,4.5546,6.8877,4.1341,5.1921,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1029_005790,005790,2.8549,1.6912,5.2687,3.2716,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,102_005818,005818,2.8951,1.6663,6.7444,3.7686,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1030_004588,004588,1.4818,2.6864,2.4991,2.2224,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1031_000206,000206,5.9381,3.4236,7.0506,5.4708,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1032_009590,009590,1.6964,4.0678,6.6424,4.1355,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1033_012207,012207,2.9724,2.2554,4.4485,3.2254,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1034_003378,003378,3.7221,3.2636,3.1209,3.3689,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1035_015137,015137,3.8008,3.6063,5.0706,4.1592,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1036_005956,005956,8.4745,2.7035,4.2157,5.1312,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1037_013265,013265,3.5863,4.1271,3.5642,3.7592,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1038_012696,012696,2.8146,2.5523,3.8342,3.067,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1039_008164,008164,6.7636,2.4503,7.8082,5.674,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,103_003450,003450,2.0666,3.2213,5.7417,3.6765,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1040_014478,014478,14.8212,3.9901,20.2352,13.0155,0,TL_L,base_direct_pt,base_direct_mt,sf204_tll246_all_cases_from_196_159_175_logic
trainfull,1041_009088,009088,0.9931,5.491,5.5494,4.0112,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1042_010077,010077,2.8155,3.246,4.3828,3.4814,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1043_014918,014918,2.8879,1.1095,0.379,1.4588,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1044_010802,010802,2.7598,6.0229,6.8772,5.22,0,PT+MT,PT200,MT190,base_direct_tll
trainfull,1045_006598,006598,1.211,4.8489,2.8545,2.9715,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1046_012619,012619,2.5149,0.2564,10.3245,4.3653,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1047_012935,012935,1.0134,3.1336,11.1927,5.1132,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1048_006151,006151,10.1671,2.716,4.8691,5.9174,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1049_013847,013847,1.1796,1.6305,1.8191,1.5431,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,104_015588,015588,1.0863,0.5725,3.9576,1.8721,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1050_006147,006147,9.4307,2.8807,4.8097,5.707,0,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1051_012202,012202,5.2497,3.7166,5.208,4.7248,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1052_003505,003505,2.9303,5.1137,6.3483,4.7974,1,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1053_009208,009208,2.9972,8.1722,5.7585,5.6426,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1054_015568,015568,1.9047,1.6854,2.5776,2.0559,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1055_002725,002725,0.285,3.4611,1.5545,1.7669,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1056_008471,008471,1.0925,4.073,8.0845,4.4167,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1057_013792,013792,53.6472,13.5667,13.7648,26.9929,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1058_014257,014257,2.3098,8.8682,6.0423,5.7401,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1059_008544,008544,17.5958,3.0397,22.5327,14.3894,0,TL_L,base_direct_pt,base_direct_mt,sf204_tll246_all_cases_from_196_159_175_logic
trainfull,105_013875,013875,1.3086,0.0438,3.9063,1.7529,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1060_000579,000579,5.7592,8.5765,1.6275,5.3211,0,MT,base_direct_pt,MT190,base_direct_tll
trainfull,1061_012584,012584,7.3399,4.1847,2.2357,4.5868,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1062_007518,007518,2.8315,1.9942,0.2759,1.7005,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1063_012413,012413,0.9875,2.7559,0.496,1.4131,1,,base_direct_pt,base_direct_mt,base_direct_tll
trainfull,1064_010771,010771,3.7918,5.5571,10.4868,6.6119,0,MT,base_direct_pt,MT190,base_direct_tll
