file_id,raw_file_id,pt_abs_error,mt_abs_error,tll_abs_error,mae3,within_5,pt_source205,mt_source205,tll_source205,changed_targets205
1186_006673,006673,6.8248,1.1577,3.9045,3.9623,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1187_000993,000993,2.6095,1.7947,7.1125,3.8389,1,checkpoint186,gate155_mt,checkpoint186,
1188_009920,009920,1.5597,1.9955,2.4429,1.9994,1,checkpoint186,gate155_mt,checkpoint186,
1189_004019,004019,2.016,1.5251,3.8649,2.4687,1,checkpoint186,gate155_mt,checkpoint186,
1190_012343,012343,1.1264,6.9182,9.2142,5.7529,0,checkpoint186,adaptive190_MT,checkpoint186,
1191_002878,002878,5.9121,4.3133,2.6728,4.2994,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1192_009566,009566,1.013,2.2553,5.0998,2.7894,1,checkpoint186,checkpoint93,checkpoint186,
1193_009414,009414,0.2109,5.6055,0.8293,2.2152,1,pt200,adaptive190_MT,checkpoint186,
1194_012028,012028,1.5971,3.5647,2.6146,2.5921,1,checkpoint186,adaptive190_MT,checkpoint186,
1195_013801,013801,0.0716,2.0154,3.9224,2.0031,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1196_015798,015798,4.4308,4.1826,8.0839,5.5658,0,checkpoint186,gate155_mt,checkpoint186,
1197_008236,008236,2.9986,0.0297,3.8188,2.2824,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1198_007588,007588,0.7507,3.5557,3.844,2.7168,1,checkpoint186,checkpoint93,checkpoint186,
1199_000646,000646,3.0822,0.1507,2.9008,2.0446,1,checkpoint186,checkpoint93,checkpoint186,
1200_005846,005846,5.0434,2.9004,3.6316,3.8585,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1201_001510,001510,1.8133,1.2463,3.688,2.2492,1,checkpoint186,gate155_mt,checkpoint186,
1202_013017,013017,1.4848,0.8621,2.9199,1.7556,1,checkpoint186,checkpoint93,checkpoint186,
1203_006137,006137,2.8975,5.8727,5.053,4.6077,1,checkpoint186,adaptive190_MT,checkpoint186,
1204_014162,014162,1.5308,6.0351,1.753,3.1063,1,checkpoint186,adaptive190_MT,checkpoint186,
1205_000501,000501,2.3779,4.9733,3.0357,3.4623,1,checkpoint186,adaptive190_MT,checkpoint186,
1206_003940,003940,8.9861,5.6042,1.2763,5.2889,0,checkpoint186,checkpoint93,checkpoint186,
1207_014067,014067,24.7204,3.3817,3.7683,10.6235,0,checkpoint186,selector182_MT,checkpoint186,
1208_002711,002711,4.4528,3.7738,4.2002,4.1423,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1209_004621,004621,0.33,2.8648,5.317,2.8373,1,pt200,checkpoint93,checkpoint186,
1210_013955,013955,4.0158,4.5197,5.2893,4.6083,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1211_014566,014566,1.2667,1.3363,2.0606,1.5545,1,checkpoint186,checkpoint93,checkpoint186,
1212_015878,015878,6.8817,0.1125,1.3251,2.7731,1,checkpoint186,gate155_mt,checkpoint186,
1213_010006,010006,5.7345,1.3612,0.4265,2.5074,1,checkpoint186,gate155_mt,checkpoint186,
1214_013613,013613,4.0818,4.5489,2.4397,3.6901,1,checkpoint186,adaptive190_MT,checkpoint186,
1215_008729,008729,4.4219,4.7148,11.3283,6.8217,0,checkpoint186,adaptive190_MT,checkpoint186,
1216_007640,007640,1.8718,1.3268,2.7234,1.974,1,checkpoint186,gate135_mt,checkpoint186,
1217_004595,004595,0.7705,5.1736,9.349,5.0977,0,checkpoint186,adaptive190_MT,checkpoint186,
1218_015314,015314,0.338,6.998,2.1826,3.1729,1,pt200,selector168_mt_guard171,checkpoint186,
1219_000858,000858,4.338,0.4924,3.7418,2.8574,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1220_014793,014793,4.638,6.6006,8.2847,6.5078,0,checkpoint186,adaptive190_MT,checkpoint186,
1221_012718,012718,0.9946,2.278,2.6393,1.9706,1,checkpoint186,gate155_mt,checkpoint186,
1222_009314,009314,4.0869,3.1751,9.747,5.6697,0,checkpoint186,gate155_mt,checkpoint186,
1223_012489,012489,8.6367,6.4725,6.5823,7.2305,0,checkpoint186,adaptive190_MT,checkpoint186,
1224_011454,011454,5.7184,2.0102,2.4174,3.382,1,checkpoint186,checkpoint93,checkpoint186,
1225_011388,011388,3.7896,8.5175,7.2948,6.534,0,checkpoint186,adaptive190_MT,checkpoint186,
1226_013755,013755,3.4067,5.303,4.1933,4.301,1,checkpoint186,adaptive190_MT,checkpoint186,
1227_001357,001357,0.8161,2.8076,3.0679,2.2305,1,checkpoint186,gate155_mt,checkpoint186,
1228_013623,013623,0.2221,3.6421,3.212,2.3587,1,checkpoint186,selector168_mt_guard171,checkpoint186,
1229_005078,005078,6.8257,6.164,0.6551,4.5483,1,checkpoint186,checkpoint93,checkpoint186,
1230_013735,013735,0.4633,1.6081,1.6045,1.2253,1,checkpoint186,gate135_mt,checkpoint186,
1231_003673,003673,5.8118,6.2018,0.4748,4.1628,1,checkpoint186,adaptive190_MT,checkpoint186,
